BreedName,Tested,Passed,Failed,Percent
AFGHAN HOUND,165,120,45,72.70
AIREDALE TERRIER,110,86,24,78.20
AKBASH DOG,16,14,2,87.50
AKITA,598,465,133,77.80
ALAPAHA BLUE BLOOD BULLDOG,12,9,3,75.00
ALASKAN KLEE KAI,2,1,1,50.00
ALASKAN MALAMUTE,244,207,37,84.80
AMERICAN BANDAGGE,1,1,0,100.00
AMERICAN BULLDOG,214,186,28,86.90
AMERICAN ESKIMO,86,71,15,82.60
AMERICAN FOXHOUND,2,2,0,100.00
AMERICAN HAIRLESS TERRIER,6,5,1,83.30
AMERICAN PIT BULL TERRIER,931,814,117,87.40
"AMERICAN STAFFORDSHIRE
TERRIER",743,635,108,85.50
AMERICAN TUNNEL TERRIER,3,2,1,66.70
AMERICAN WATER SPANIEL,9,7,2,77.80
ANATOLIAN SHEPHERD DOG,36,30,6,83.30
AUSTRALIAN CATTLE DOG,201,160,41,79.60
AUSTRALIAN KELPIE,6,5,1,83.30
AUSTRALIAN SHEPHERD,702,577,125,82.20
AUSTRALIAN TERRIER,17,14,3,82.40
AZAWAKH,1,1,0,100.00
BARBET (FR. WATERDOG),1,1,0,100.00
BASENJI,177,122,55,68.90
BASSET HOUND,37,32,5,86.50
BEAGLE,79,63,16,79.70
BEARDED COLLIE,51,29,22,56.90
BEAUCERON,53,48,5,90.60
BEDLINGTON TERRIER,21,19,2,90.50
BELGIAN LAEKENOIS,7,7,0,100.00
BELGIAN MALINOIS,440,414,26,94.10
BELGIAN SHEEPDOG,516,418,98,81.00
BELGIAN TERVUREN,521,424,97,81.40
BERGER PICARD,21,20,1,95.20
BERNESE MOUNTAIN DOG,194,168,26,86.60
BICHON FRISE,30,23,7,76.70
BLACK RUSSIAN TERRIER,164,154,10,93.90
BLOODHOUND,40,30,10,75.00
BLUE MOUNTAIN SHEPHERD,1,1,0,100.00
BOERBOEL,57,54,3,94.70
BOLOGNESE,1,1,0,100.00
BORDER COLLIE,312,257,55,82.40
BORDER TERRIER,143,131,12,91.60
BORZOI,111,100,11,90.10
BOSTON TERRIER,80,69,11,86.30
BOUVIER DES FLANDERS,925,790,135,85.40
BOXER,472,396,76,83.90
BOYKIN SPANIEL,2,2,0,100.00
BRIARD,382,312,70,81.70
BRITTANY SPANIEL,122,111,11,91.00
BRUSSELS GRIFFON,12,11,1,91.70
BULL TERRIER,83,76,7,91.60
BULL TERRIER (MINIATURE),13,13,0,100.00
BULLDOG,141,101,40,71.60
BULLMASTIFF,151,121,30,80.10
CAIRN TERRIER,53,40,13,75.50
CANAAN DOG,8,5,3,62.50
CANE CORSO,235,207,28,88.10
CAO DE FILA DE SAO MIGUEL,3,2,1,66.70
CARDIGAN WELSH CORGI,77,62,15,80.50
CAROLINA DOG,3,2,1,66.70
CATAHOULA LEOPARD DOG,14,11,3,78.60
CAUCASIAN OVCHARKA,20,17,3,85.00
CAVALIER KING CHARLES SPANIEL,62,53,9,85.50
CENTRAL ASIAN SHEPHERD,24,22,2,91.70
CHART POLSKI,1,1,0,100.00
CHESAPEAKE BAY RETRIEVER,123,108,15,87.80
CHIHUAHUA,46,32,14,
CHINESE CRESTED DOG,34,26,8,76.50
CHINESE SHAR-PEI,214,152,62,71.00
CHINOOK,9,7,2,77.80
CHOW CHOW,99,71,28,71.70
CLUMBER SPANIEL,13,11,2,84.60
COCKER SPANIEL,233,191,42,82.00
COLLIE,896,724,172,80.80
"COONHOUND, BLACK AND TAN",15,15,0,100.00
"COONHOUND, BLUETICK",2,2,0,100.00
"COONHOUND, REDBONE",5,5,0,100.00
"COONHOUND, TREEING WALKER",8,5,3,62.50
CURLY-COATED RETRIEVER,181,166,15,91.70
CZECHOSLOVAKIAN VLCAK,2,1,1,50.00
"DACHSHUND (MINIATURE
LONGHAIRED)",34,31,3,91.20
DACHSHUND (MINIATURE SMOOTH),41,32,9,78.00
"DACHSHUND (MINIATURE
WIREHAIRED)",24,20,4,83.30
"DACHSHUND (STANDARD
LONGHAIRED)",35,26,9,74.30
DACHSHUND (STANDARD SMOOTH),49,34,15,69.40
"DACHSHUND (STANDARD
WIREHAIRED)",31,26,5,83.90
DALMATIAN,359,299,60,83.30
DANDIE DINMONT TERRIER,7,5,2,71.40
DOBERMAN PINSCHER,1780,1415,365,
DOGO ARGENTINO,19,17,2,89.50
DOGO CANARIO,3,3,0,100.00
DOGUE DE BORDEAUX,100,78,22,78.00
DUTCH SHEPHERD,26,25,1,96.20
ENGLISH BULLDOG,5,4,1,80.00
ENGLISH BULLDOG TERRIER,4,4,0,100.00
ENGLISH COCKER SPANIEL,75,70,5,93.30
ENGLISH FOXHOUND,3,2,1,66.70
ENGLISH JACK RUSSELL TERRIER,4,4,0,100.00
ENGLISH MASTIFF,8,8,0,100.00
ENGLISH PITBULL,1,0,1,0.00
ENGLISH POINTER,1,1,0,100.00
ENGLISH SETTER,32,26,6,81.30
ENGLISH SHEPERD,26,25,1,96.20
ENGLISH SPRINGER SPANIEL,162,138,24,85.20
ENTLEBUCHER MOUNTIAN DOG,1,0,1,0.00
ESTRELA MOUNTAIN DOG,1,1,0,100.00
FIELD SPANIEL,14,12,2,85.70
FILA BRASILEIRO,14,11,3,78.60
FINNISH LAPPHUND,8,5,3,62.50
FINNISH SPITZ,11,8,3,72.70
FLAT-COATED RETRIEVER,87,80,7,92.00
"FOX TERRIER, SMOOTH",58,45,13,77.60
"FOX TERRIER, WIRE",20,17,3,85.00
FRENCH BULLDOG,52,50,2,96.20
GERMAN PINSCHER,37,34,3,91.90
GERMAN SHEPHERD DOG,3383,2885,498,85.30
GERMAN SHORTHAIRED POINTER,137,107,30,78.10
GERMAN WIREHAIRED POINTER,18,14,4,77.80
GIANT SCHNAUZER,265,205,60,77.40
GLEN OF IMAAL TERRIER,3,2,1,66.70
GOLDEN RETRIEVER,813,696,117,85.60
GORDON SETTER,67,56,11,83.60
GRAND BASSET GRIFFON VENDEEN,2,2,0,100.00
GREAT DANE,314,256,58,81.50
GREAT PYRENEES,152,129,23,84.90
GREATER SWISS MOUNTAIN DOG,262,217,45,82.80
GREYHOUND,69,55,14,79.70
HAVANESE,11,9,2,81.80
HOVAWART,24,22,2,91.70
IBIZAN HOUND,34,31,3,91.20
ICELANDIC SHEEPDOG,10,10,0,100.00
IRISH GLEN OF IMAAL TERRIER,3,2,1,66.70
IRISH RED AND WHITE SETTER,2,2,0,100.00
IRISH SETTER,154,140,14,90.90
IRISH TERRIER,10,8,2,80.00
IRISH WATER SPANIEL,30,27,3,90.00
IRISH WOLFHOUND,101,91,10,90.10
ITALIAN GREYHOUND,54,44,10,81.50
JACK RUSSELL TERRIER,69,59,10,85.50
JAHUAHUA,1,1,0,100.00
JAPANESE CHIN,5,5,0,100.00
KAI KEN,1,1,0,100.00
KARELIAN BEAR DOG,3,3,0,100.00
KEESHOND,87,71,16,81.60
KERRY BLUE TERRIER,49,36,13,73.50
KING SHEPHERD,1,1,0,100.00
KOMONDOR,10,9,1,90.00
KOREAN JINDO,2,2,0,100.00
KUVASZ,51,40,11,78.40
LABRADOR RETRIEVER,842,776,66,
LAGOTTO ROMAGNOLO,4,3,1,75.00
LAKELAND TERRIER,8,6,2,75.00
LEONBERGER,25,24,1,96.00
LHASA APSO,27,19,8,70.40
LOWCHEN,12,9,3,75.00
LURCHER,5,5,0,100.00
MAGYAR AGAR,1,1,0,100.00
MALTESE,17,14,3,82.40
MANCHESTER TERRIER (STD),62,54,8,87.10
MANCHESTER TERRIER (TOY),25,24,1,96.00
MASTIFF,263,228,35,86.70
MINIATURE AMERICAN SHEPHERD,1,1,0,100.00
MINIATURE PINSCHER,57,47,10,82.50
MINIATURE SCHNAUZER,116,92,24,79.30
MIXED BREED,1218,1051,167,86.30
MUDI (HUNGARIAN),5,2,3,40.00
NEAPOLITAN MASTIFF,15,10,5,66.70
NEDERLANDSE KOOIKERHONDJE,1,1,0,100.00
NEWFOUNDLAND,176,154,22,87.50
NORFOLK TERRIER,14,13,1,92.90
NORWEGIAN ELKHOUND,122,91,31,74.60
NORWICH TERRIER,15,11,4,73.30
"NOVA SCOTIA DUCK TOLLING
RETRIEVER",38,30,8,78.90
